dept,sinta_score_overall,sinta_3yr_score
"S2,Pendidikan Matematika",12172,8260
"S1,Fisika",16141,6883
"S2,Pendidikan Ilmu Komputer",14052,6109
"S2,Pendidikan Teknologi dan Kejuruan",13658,5663
"S2,Pendidikan Biologi",5512,3525
"S1,Pendidikan Teknik Otomotif",7136,3495
"S1,Pendidikan Kesejahteraan Keluarga",7115,3368
"S1,Kimia",9013,3132
"S3,Pendidikan Teknologi dan Kejuruan",5180,2845
"S3,Pendidikan Bahasa Inggris",4616,2811
"S3,Pendidikan Olahraga",4081,2733
"D3,Keperawatan",3859,2682
"S2,Pendidikan Kimia",6126,2668
"S3,Pendidikan Khusus",3469,2605
"S1,Pendidikan Teknik Otomasi Industri dan Robotika",4879,2503
"S2,Arsitektur",5789,2502
"S1,Pendidikan Kimia",4337,2449
"S2,Pendidikan Dasar",3296,2435
"S3,Pendidikan Geografi",4055,2296
"S1,Sistem Telekomunikasi",6360,2216
"S3,Pengembangan Kurikulum",3054,2146
"S1,Pendidikan Teknik Elektro",4787,2116
"S1,PGSD Kampus Tasikmalaya",2841,2114
"S2,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya",2585,1955
"S1,Pendidikan Teknologi Agroindustri",2390,1120
"S2,Pendidikan Ilmu Pengetahuan Sosial",1888,1116
"S1,Pendidikan Bisnis",2627,1112
"S1,PGSD Kampus Serang",1416,1111
"S1,Pendidikan Tata Boga",1981,1019
"S2,Bimbingan Dan Konseling",1465,1011
"S3,Pendidikan Sejarah",2200,1003
"S1,PGSD Pendidikan Jasmani",1834,978
"S1,Bahasa dan Sastra Inggris",1514,969
"S1,Teknik Sipil",1484,957
