dept,sinta_score_overall,sinta_3yr_score
"S1,Manajemen Pemasaran Pariwisata",507,52
"S1,Kewirausahaan Kampus Tasikmalaya",51,51
"S1,Gizi",81,51
"S1,Industri Pariwisata",79,41
"S1,PGPAUD Kampus Purwakarta",373,261
"S1,Pendidikan Akuntansi",1368,257
"S2,Pendidikan Anak Usia Dini",622,256
"S1,Pendidikan Seni Tari",319,255
"D3,Keperawatan Kampus Sumedang",236,236
"S1,Pendidikan Ekonomi",326,230
"S1,Pendidikan Sosiologi",232,222
"S2,Pendidikan Agama Islam",406,222
"S1,PGPAUD Kampus Serang",220,220
"S1,Ilmu Ekonomi dan Keuangan Islam",412,213
"S2,Kimia",32168,11120
"S1,Pendidikan Fisika",16509,9595
"S3,Pendidikan Dasar",14933,9250
"S2,Pendidikan Fisika",15638,8578
"S3,Pendidikan Ilmu Pengetahuan Alam",14809,7997
"S2,Pendidikan Matematika",11200,7660
"S3,Pendidikan Matematika",11669,7435
"S1,Fisika",15437,6488
"S2,Pendidikan Ilmu Komputer",13611,5947
"S2,Pendidikan Teknologi dan Kejuruan",13218,5511
"S2,Pendidikan Dasar",2363,1618
"S1,Pendidikan Ilmu Komputer",4341,1568
"D3,Survey Pemetaan dan Informasi Geografis",1865,1567
"S2,Pendidikan Ekonomi",2593,1552
"S1,PGSD Kampus Cibiru",1848,1365
"S1,Pendidikan Bahasa Inggris",2073,1340
"S1,Pendidikan Sistem dan Teknologi Informasi Kampus P",2198,1329
"S3,Pendidikan Masyarakat",2137,1252
"S2,Pendidikan Geografi",2632,1221
"S1,Pendidikan Kepelatihan Olahraga",2543,1212
