nama,dept,sinta_id,scopus_h_index,gs_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score
BUDI MULYANTI,Teknik Elektro (S1),5993841,8,9,1.032,1.773,0,0
YAYA S. KUSUMAH,Unknown,6676817,10,23,603,1.206,0,0
ARIF ISMAIL,Survey Pemetaan dan Informasi Geografis (D3),5974521,3,7,396,503,0,0
R ASEP KADAROHMAN,Pendidikan Ilmu Pengetahuan Alam (S3),5984423,8,15,394,914,0,0
LILI ADI WIBOWO,Manajemen (S2),5984836,4,10,394,807,0,0
ACE SURYADI,Pendidikan Masyarakat (S3),5979226,3,20,381,893,0,0
ELAH NURLAELAH,Pendidikan Matematika (S2),6665327,4,10,380,580,0,0
FUAD ABDUL HAMIED,Pendidikan Bahasa Inggris (S3),5978397,4,15,374,793,0,0
DEDI ROHENDI,Pendidikan Teknik Otomotif (S1),5978259,5,11,374,965,0,0
NANANG WINARNO,Pendidikan IPA (S1),6079273,3,7,373,527,0,0
SETIYA UTARI,Pendidikan Fisika (S2),5995367,5,12,326,709,0,0
BETA PARAMITA,Arsitektur (S2),258001,6,8,366,863,0,0
SUMARDI,PGPAUD Kampus Tasikmalaya (S1),6006460,0,11,324,958,0,0
HARRY FIRMAN,Unknown,6132557,5,15,355,1.064,0,0
HARRY FIRMAN,Unknown,6132494,5,15,355,1.054,0,0
MAMAT RUHIMAT,Pendidikan Ilmu Pengetahuan Sosial (S3),5979213,3,11,320,773,0,0
MOHAMMAD ALI,Pengembangan Kurikulum (S3),5980905,3,21,346,625,0,0
DR. DRS SUNARDI M.PD,Pendidikan Khusus (S3),6656915,5,12,320,878,0,0
SHANDRA RAMA PANJI WULUNG,Pendidikan Pariwisata (S1),6680229,2,5,345,391,0,0
ASEP SURYANA,Administrasi Pendidikan (S3),5993362,1,9,320,664,0,0
RAHMAN,Pendidikan Dasar (S3),5991818,0,5,344,651,0,0
MUHAMAD GINA NUGRAHA,Pendidikan Fisika (S1),258012,4,11,320,904,0,0
RUDI SUSILANA,Pengembangan Kurikulum (S3),5985142,1,13,319,644,0,0
DINI HANDAYANI,Unknown,6676481,7,0,342,923,0,0
ENOK MARYANI,Pendidikan Geografi (S3),5975781,4,13,318,915,0,0
ANA RATNA WULAN,Pendidikan Biologi (S1),5995001,3,13,342,691,0,0
WIDI PURWIANINGSIH,Unknown,6004348,3,7,340,782,0,0
HAFIZIANI EKA PUTRI,Pendidikan Geografi (S3),5994008,2,9,317,423,0,0
SYAMSU YUSUF LN,Bimbingan Dan Konseling (S2),5991749,2,28,333,689,0,0
DEDY ACHMAD KURNIADY,Administrasi Pendidikan (S2),5993195,2,8,312,783,0,0
DIANA ROCHINTANIAWATI,Pendidikan IPA (S1),6140567,3,0,327,673,0,0
HERNANI,Unknown,6662199,4,3,326,575,0,0
MUNIR,Pendidikan Ilmu Komputer (S2),5974517,5,11,455,1.234,0,0
ADI RAHMAT,Pendidikan Biologi (S1),5986402,2,7,452,848,0,0
ERI KURNIAWAN,Linguistik (S2),5994389,3,0,450,782,0,0
HAMIDIE RONALD DANIEL RAY,Ilmu Keolahragaan (S1),5978997,5,7,439,1.067,0,0
PRANA DWIJA ISWARA,Pendidikan Dasar (S2),5977036,3,11,438,924,0,0
WINNY LILIAWATI,Pendidikan Fisika (S2),257924,4,10,434,992,0,0
LUTFI NUR,Desain Produk Industri Kampus Tasikmalaya (S1),5977298,4,9,428,572,0,0
IWAN SETIAWAN,Pendidikan Geografi (S1),5995430,3,4,427,680,0,0
KOKOM KOMALASARI,Pendidikan Kewarganegaraan (S2),5984369,8,17,425,1.057,0,0
YAYAN SANJAYA,Pendidikan Biologi (S2),5978995,3,9,424,1.012,0,0
VANESSA GAFFAR,Manajemen (S3),5993246,5,0,244,580,0,0
LILI SOMANTRI,Sains Informasi Geografi (S1),5995390,3,7,242,662,0,0
MUSTIKA FITRI,Ilmu Keolahragaan (S1),5994049,2,5,239,493,0,0
BUDI LAKSONO PUTRO,Pendidikan Ilmu Komputer (S1),5993187,3,6,236,580,0,0
VINA DWIYANTI,Teknik Logistik (S1),6745842,2,4,236,254,0,0
RENDI RESTIANA SUKARDI,Unknown,6745722,3,5,235,314,0,0
HENDRAWAN,Kimia (S1),5994163,10,6,234,753,0,0
HENY HENDRAYATI,Manajemen (S1),5994544,2,6,234,401,0,0
HENDRIYANA,Rekayasa Perangkat Lunak (S1),6658557,0,1,233,287,0,0
EGA TAQWALI BERMAN,Teknik Mesin (D3),5979284,2,5,233,582,0,0
SUPRIADI,PGSD Kampus Serang (S1),5994493,2,6,232,423,0,0
ASEP SOPIAN,Pendidikan Bahasa Arab (S1),258048,0,4,231,411,0,0
YANTY WIRZA,Pendidikan Bahasa Inggris (S2),6658778,1,4,231,437,0,0
ANGGI SETIA LENGKANA,PGSD Penjas Kampus Sumedang (S1),5993735,3,11,231,407,0,0
TIA CITRA BAYUNI,Unknown,6684835,0,19,230,368,0,0
PUSPO DEWI DIRGANTARI,Pendidikan Bisnis (S1),5980376,4,7,229,446,0,0
AL AZHARY MASTA,Matematika (S1),6007709,5,6,229,483,0,0
RIRIN SISPIYATI,Pendidikan Matematika (S1),5986406,2,5,228,345,0,0
JUDHISTIRA ARIA UTAMA,Fisika (S1),6125861,4,5,228,611,0,0
NAHADI,Pendidikan Kimia (S2),5978998,4,6,228,607,0,0
SAPRIYA,Pendidikan Kewarganegaraan (S2),5987047,3,11,226,494,0,0
MUHAMMAD HANIF,PGSD Kampus Serang (S1),6747537,3,6,226,236,0,0
SRI SETYARINI,Pendidikan Bahasa Inggris (S3),6121097,2,0,224,384,0,0
SITI SRIYATI,Pendidikan Biologi (S2),6004536,3,9,224,533,0,0
WAWAN GUNAWAN,Linguistik (S2),5994823,2,5,220,533,0,0
KUSNANDI,Pendidikan Matematika (S2),6700094,1,7,220,281,0,0
USEP SURAHMAN,Arsitektur (S2),5978237,5,6,219,611,0,0
ISHAK ABDULHAK,Pendidikan Masyarakat (S3),5991803,1,12,219,484,0,0
DADANG LUKMAN HAKIM,Teknik Elektro (S1),5994748,5,9,219,723,0,0
VISMAIA S DAMAIANTI,Pendidikan Bahasa Indonesia (S3),5993885,1,10,218,460,0,0
JOHAR MAKNUN,Pendidikan Teknik Arsitektur (S1),5994899,3,9,300,689,0,0
CUCUN SUNAENGSIH,PGSD Kampus Sumedang (S1),5993226,2,8,299,431,0,0
"DR. KARLIMAH, M.PD.",Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),5982248,1,6,298,566,0,0
TITE JULIANTINE,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",5995777,1,10,297,577,0,0
SUMAR HENDAYANA,Pendidikan Kimia (S2),5994178,9,0,312,1.012,0,0
AHMAD BUKHORI MUSLIM,Pendidikan Bahasa Inggris (S3),5974554,3,6,311,521,0,0
RATNANINGSIH EKO SARDJONO,Kimia (S2),5979503,6,9,296,872,0,0
DEDE ROHMAT,Pendidikan Geografi (S3),6006073,3,7,293,552,0,0
FARAH AYUNDA YASMIN,Unknown,6739238,0,20,292,703,0,0
HANA RUWAIDAH,Unknown,6675247,0,141,308,1.822,0,0
MUMU KOMARO,Pendidikan Teknik Mesin (S1),5993878,3,7,307,601,0,0
DASIM BUDIMANSYAH,Pendidikan Kewarganegaraan (S3),5979876,3,25,291,681,0,0
"DR. ENDANG ROCHYADI, M.PD",Pendidikan Khusus (S3),6139442,2,8,291,435,0,0
RIKI RIDWANA,Survey Pemetaan dan Informasi Geografis (D3),6659655,1,4,287,312,0,0
DODI SURYANA,Bimbingan Dan Konseling (S1),6121280,3,4,305,344,0,0
SUPRIH WIDODO,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),5978120,2,6,305,483,0,0
BUNYAMIN MAFTUH,Pendidikan Ilmu Pengetahuan Sosial (S3),6146282,3,12,217,470,0,0
SURYANA,Manajemen (S3),5978648,2,6,216,294,0,0
SITI NURBAYANI K,Pendidikan Sosiologi (S2),5976314,1,6,304,691,0,0
IWAN KUSTIAWAN,Teknik Elektro (D3),5996452,3,5,303,622,0,0
NANA SUPRIATNA,Pendidikan Sejarah (S3),5993532,2,14,216,498,0,0
AFIANTI SULASTRI,Keperawatan (D3),5994273,2,5,216,346,0,0
ALI ISMAIL,PGSD Kampus Sumedang (S1),5993063,3,6,301,440,0,0
PUPUNG PURNAWARMAN,Pendidikan Bahasa Inggris (S3),5979299,4,10,301,449,0,0
MOKHAMAD SYAOM BARLIANA,Arsitektur (S2),257912,2,8,215,524,0,0
YETI MULYATI,Pendidikan Bahasa Indonesia (S3),5993970,1,16,214,439,0,0
JUANG AKBARDIN,Teknik Sipil (S1),5979018,4,6,214,394,0,0
YUYU RACHMAT TAYUBI,Fisika (S1),5995486,3,5,214,495,0,0
YADI MULYADI,Teknik Elektro (S1),6003577,3,8,213,881,0,0
RINI SOLIHAT,Pendidikan Biologi (S1),6005021,2,5,212,354,0,0
SUMARTO,Pendidikan Teknologi dan Kejuruan (S3),5979244,3,17,285,935,0,0
DISMAN,Pendidikan Ekonomi (S3),5991816,5,5,285,547,0,0
ARJUNI BUDI PANTJAWATI,Pendidikan Teknik Elektro (S1),5994602,4,5,284,600,0,0
DITA AMANAH,Pendidikan Bisnis (S1),5976422,2,15,283,573,0,0
IRMA RAHMA SUWARMA,Pendidikan Fisika (S2),5983995,4,12,280,578,0,0
NANDANG RUSMANA,Bimbingan Dan Konseling (S3),5995335,2,10,280,524,0,0
DINDIN ABDUL MUIZ LIDINILLAH,PGSD Kampus Tasikmalaya (S1),5977469,1,10,278,503,0,0
NANDI,Pendidikan Geografi (S2),257576,6,7,275,961,0,0
VIDI SUKMAYADI,Ilmu Komunikasi (S1),5975463,3,4,273,360,0,0
GALUH YULIANI,Kimia (S2),5975260,6,8,268,771,0,0
MUBIAR AGUSTIN,Unknown,6128201,1,13,268,399,0,0
RIDWAN EFENDI,Pendidikan Fisika (S1),5987645,2,5,267,523,0,0
NURJANAH,Pendidikan Matematika (S1),5995393,3,6,263,427,0,0
"ASEP DAHLIYANA, S.PD.,M.PD.",Pendidikan Sosiologi (S1),5997439,0,3,255,322,0,0
TOMMI HARIYADI,Teknik Elektro (S1),5992365,6,7,260,881,0,0
HERMAN SUBARJAH,Pendidikan Olahraga (S3),5994028,3,11,252,610,0,0
DINN WAHYUDIN,Pendidikan Profesi Guru (Profesi),5983880,3,18,259,1.064,0,0
DINIE ANGGRAENI DEWI,PGSD Kampus Cibiru (S1),6684318,0,11,599,692,0,0
BACHRUDIN MUSTHAFA,Linguistik (S3),5991800,2,13,250,493,0,0
VINA ADRIANY,Pendidikan Anak Usia Dini (S2),5979511,5,12,259,603,0,0
AAN KOMARIAH,Administrasi Pendidikan (S3),6101488,2,22,583,1.258,0,0
RANI MEGASARI,Ilmu Komputer (S1),5992674,3,3,211,391,0,0
AAH AHMAD SYAHID,PGSD Kampus Sumedang (S1),5993425,2,6,250,390,0,0
SUNARYO KARTADINATA,Bimbingan Dan Konseling (S3),5990867,2,15,190,432,0,0
TRI SUWANDI,Pendidikan Biologi (S1),6198988,2,6,199,323,0,0
SUHARNO,Pendidikan Bahasa Inggris (S1),5994737,4,0,258,325,0,0
MULYANA,Pendidikan Kepelatihan Olahraga (S1),5984860,1,2,258,751,0,0
EYUS SUDIHARTINIH,Pendidikan Matematika (S1),5975856,2,6,551,810,0,0
EPON NUR'AENI L,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),5980779,1,0,211,338,0,0
MUSTOFA KAMIL,Pendidikan Masyarakat (S2),5994180,2,12,250,400,0,0
SYIHABUDDIN,Pendidikan Bahasa Arab (S2),5990111,1,14,189,488,0,0
SOJA SITI FATIMAH,Kimia (S1),5976517,4,0,196,339,0,0
JUNTIKA NURIHSAN ,Psikologi Pendidikan (S2),5987356,2,21,258,456,0,0
NURIA HARISTIANI,Pendidikan Bahasa Jepang (S2),5994096,7,7,257,512,0,0
SRI MULYANI,Pendidikan Kimia (S1),6123713,5,0,544,864,0,0
YAYAN NURBAYAN,Pendidikan Bahasa Arab (S1),258249,1,8,210,472,0,0
MUSLIM,Pendidikan Fisika (S2),6028471,4,7,490,826,0,0
DIAN USDIYANA,Pendidikan Matematika (S1),6041973,2,6,250,314,0,0
SITI KOMARIAH,Pendidikan Sosiologi (S2),5976333,1,6,189,319,0,0
"DR. M. SOLEHUDDIN, M.PD., M.A.",Bimbingan Dan Konseling (S3),5995348,2,8,196,346,0,0
SARIWULAN DIANA,Pendidikan Biologi (S1),6035050,2,8,196,522,0,0
RIANDI,Pendidikan Ilmu Pengetahuan Alam (S3),5995561,6,12,540,1.080,0,0
RINA MARYANTI,Pendidikan Khusus (S1),6768594,7,8,529,618,0,0
YAYA WIHARDI,Ilmu Komputer (S1),5994413,3,4,207,421,0,0
MUHAMMAD RIJAL WAHID MUHARRAM,PGSD Kampus Tasikmalaya (S1),6709826,1,6,186,240,0,0
DUDEN SAEPUZAMAN,Pendidikan Fisika (S1),258293,5,11,489,1.229,0,0
YULIANETA,Pendidikan Bahasa Indonesia Bagi Penutur Asing (S2),6122021,0,6,477,646,0,0
MUSTIKA NURAMALIA HANDAYANI,Pendidikan Teknologi Agroindustri (S1),5979659,4,8,248,611,0,0
AGUS SUHERMAN,Pendidikan Bahasa Sunda (S1),5986522,1,9,189,354,0,0
DEDE SUGANDI,Pendidikan Geografi (S2),5989548,3,8,194,486,0,0
TRY RAMADHAN,Pendidikan Teknik Arsitektur (S1),6745711,1,3,194,235,0,0
RIKO ARRASYID,Unknown,6681555,1,2,184,233,0,0
MUKTIARNI,Pendidikan Tata Boga (S1),6745839,3,4,516,602,0,0
ATEP SUJANA,PGSD Kampus Sumedang (S1),5993423,3,14,207,745,0,0
HISNY FAJRUSSALAM,PGSD Kampus Purwakarta (S1),6688267,0,6,186,235,0,0
TAUFIK RAMLAN RAMALIS,Pendidikan Fisika (S2),5994709,2,8,474,765,0,0
BAMBANG SUPRIATNO,Pendidikan Biologi (S2),5992701,2,9,247,502,0,0
NURBAETY AGUSTINA DEWI RATNASARI,Unknown,6666061,0,27,189,575,0,0
RICKY WIBOWO,PGSD Pendidikan Jasmani (S1),5982918,0,6,194,353,0,0
INDRA MAMAD GANDIDI,Pendidikan Teknik Mesin (S1),5975145,6,7,183,608,0,0
ANDHY SETIAWAN,Fisika (S1),6040311,5,8,516,1.067,0,0
ASEP YUDI PERMANA,Arsitektur (S2),5977218,2,11,509,819,0,0
SJAEFUL ANWAR,Pendidikan Kimia (S1),6094907,3,3,207,356,0,0
MIMIN IRYANTI,Fisika (S1),5979500,4,5,206,515,0,0
TATANG MUHTAR,Pendidikan Jasmani (S2),5993773,3,8,186,330,0,0
BAMBANG DARMAWAN,Pendidikan Teknik Mesin (S1),5991508,4,0,185,227,0,0
HERY SUPIARZA,Film dan Televisi (S1),6664624,0,7,185,216,0,0
MUHAMAD PARHAN,Pendidikan Ilmu Pengetahuan Sosial (S2),6709291,1,10,472,608,0,0
AHMAD AMINUDIN,Fisika (S1),6002113,5,6,467,812,0,0
ANY FITRIANI,Pendidikan Ilmu Pengetahuan Alam (S2),6004273,3,12,246,681,0,0
IYON SUYANA,Pendidikan Fisika (S1),6109361,3,7,188,329,0,0
SOFYAN SAURI,Pendidikan Bahasa Arab (S2),5979751,1,14,188,408,0,0
MESA RAHMI STEPHANI,PGSD Pendidikan Jasmani (S1),6068759,1,5,188,315,0,0
TUSZIE WIDHIYANTI,Unknown,6123602,2,3,169,245,0,0
GHULLAM HAMDU,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),5994188,1,8,168,416,0,0
YUSUF TRI HERLAMBANG,PGSD Kampus Cibiru (S1),5987552,1,11,192,270,0,0
IKAPUTERA WASPADA,Manajemen (S3),5993422,1,6,191,287,0,0
CITRA OKTASARI,Unknown,6739791,1,2,150,153,0,0
TAUFIK RAHMAN,Pendidikan Ilmu Pengetahuan Alam (S2),6081100,2,7,183,367,0,0
APRI WIYONO,Pendidikan Teknik Otomotif (S1),6186779,2,4,181,244,0,0
ADANG SUHERMAN,Pendidikan Olahraga (S3),5989871,4,15,508,1.009,0,0
SAEFUL KARIM,Pendidikan Fisika (S1),6022627,4,12,204,507,0,0
YUNUS ABIDIN,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),257816,1,16,184,604,0,0
AGUS FAKHRUDDIN,Ilmu Pendidikan Agama Islam (S1),5993691,1,6,184,336,0,0
ERNAWULAN SYAODIH,Pendidikan Dasar (S2),6114767,4,12,466,628,0,0
AMIR MACHMUD,Pendidikan Ekonomi (S2),5974528,6,15,462,667,0,0
IKA MUSTIKA SARI,Pendidikan Fisika (S1),5993538,3,8,244,426,0,0
ENJUN JUNAETI,Pendidikan Ilmu Komputer (S1),5992648,4,6,188,449,0,0
CICA YULIA,Pendidikan Tata Boga (S1),5995421,3,7,186,350,0,0
HANA YUNANSAH,PGSD Kampus Cibiru (S1),5988891,0,7,167,282,0,0
BAMBANG AVIP PRIATNA MARTADIPUTRA,Pendidikan Matematika (S1),6124136,2,7,167,341,0,0
RR HERTIEN KOOSBANDIAH S,Pendidikan Biologi (S2),5995733,3,8,191,385,0,0
NANDANG BUDIMAN,Psikologi Pendidikan (S2),5995137,2,10,150,270,0,0
ANI NUR AENI,PGSD Kampus Sumedang (S1),5993277,1,12,148,418,0,0
FITRI RAHMAFITRIA,Manajemen Resort dan Leisure (S1),6067571,4,5,181,418,0,0
SHAFIRA HIMAYAH,Sains Informasi Geografi (S1),6114986,3,3,178,211,0,0
WIJI,Pendidikan Kimia (S2),6012036,2,4,201,403,0,0
DIDIK PRIYANDOKO,Unknown,6658318,8,0,200,730,0,0
CEP UBAD ABDULLAH,Pendidikan Pariwisata (S1),6681401,5,7,184,375,0,0
YAYANG FURI FURNAMASARI,Unknown,6732204,0,5,184,193,0,0
NUUR WACHID ABDUL MAJID,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),6054692,3,11,459,659,0,0
AHMAD YANI,Pendidikan Geografi (S3),5975048,4,0,458,841,0,0
DIAN PERMATA SARI,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),6160445,5,0,165,302,0,0
DADAN DJUANDA,PGSD Kampus Sumedang (S1),5993483,0,13,165,571,0,0
UPIK RAHMI,Keperawatan (D3),5978408,0,5,148,333,0,0
SITI AISYAH,Kimia (S1),5984449,9,8,148,820,0,0
DUDI GUNAWAN,Pendidikan Khusus (S1),6687356,0,5,177,1.306,0,0
DADAN DASARI,Unknown,6000619,1,6,175,267,0,0
INDAH SUSANTI,Unknown,6681739,2,5,174,253,0,0
MAD ALI ,Pendidikan Bahasa Arab (S2),6787108,0,1,184,348,0,0
RUSWAN DALLYONO,Bahasa dan Sastra Inggris (S1),6682759,3,5,164,192,0,0
DIDIN SARIPUDIN,Pendidikan Sejarah (S3),5984366,7,12,148,645,0,0
YUDI WIBISONO,Ilmu Komputer (S1),260167,2,8,147,418,0,0
EKA FITRAJAYA RAHMAN,Pendidikan Ilmu Komputer (S1),6038107,4,6,147,351,0,0
KARTIKA YULIANTI,Pendidikan Matematika (S1),5979108,3,8,174,392,0,0
JAJAT,Ilmu Keolahragaan (S1),6002301,2,5,144,250,0,0
AGUS HERI SETYA BUDI,Teknik Elektro (S1),6003446,3,4,164,449,0,0
DIAN BUDIANA,PGSD Pendidikan Jasmani (S1),5984830,3,7,163,346,0,0
TRIANTI NUGRAHENI,Pendidikan Seni (S2),5995195,1,4,147,201,0,0
ADMAN,Pendidikan Manajemen Perkantoran (S1),5975671,1,6,147,528,0,0
NURDINAH HANIFAH,PGSD Kampus Sumedang (S1),5992549,1,13,143,382,0,0
YUDI SUKMAYADI,Pendidikan Seni (S3),6100381,1,4,143,249,0,0
AAM ALI RAHMAN,PGSD Penjas Kampus Sumedang (S1),6689586,3,4,143,188,0,0
ASARI DJOHAR,Pendidikan Teknik Mesin (S1),6031234,4,7,163,365,0,0
CEPI RIYANA,Pendidikan Dasar (S3),5978187,1,25,142,561,0,0
MUHAMMAD IHSAN,Sains Informasi Geografi (S1),6115091,2,2,142,145,0,0
ELIYAWATI,Pendidikan IPA (S1),6000519,1,4,142,195,0,0
SANDEY TANTRA PARAMITHA,Ilmu Keolahragaan (S1),5977670,0,5,142,462,0,0
A SOBANDI,Pendidikan Ekonomi (S2),5994552,1,8,141,398,0,0
MUHAMMAD NUR ALIF,PGSD Penjas Kampus Sumedang (S1),6183716,3,6,140,218,0,0
TITA MULYATI,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),5989944,1,9,174,263,0,0
ARIF HIDAYAT,Pendidikan Fisika (S1),257991,3,2,174,272,0,0
YUSUF HILMI ADISENDJAJA,Pendidikan Biologi (S1),6146921,2,10,141,337,0,0
NUNUNG SITI SUKAESIH,Keperawatan Kampus Sumedang (D3),6125144,1,2,140,148,0,0
YAYA SONJAYA,Kimia (S1),6122417,3,5,139,334,0,0
AMAY SUHERMAN,Pendidikan Teknologi dan Kejuruan (S3),6657142,3,4,173,468,0,0
ANGGA HADIAPURWA,Perpustakaan dan Sains Informasi (S1),5989706,0,4,172,232,0,0
YUDY HENDRAYANA,Pendidikan Olahraga (S3),6661161,1,6,139,273,0,0
IRFAN FAUZI,Unknown,6726562,0,5,139,141,0,0
"DR. ILFIANDRA, M.PD",Bimbingan Dan Konseling (S2),5989603,2,8,139,394,0,0
YADI RUYADI,Pendidikan Sosiologi (S2),6664082,1,7,146,347,0,0
LILIT RUSYATI,Pendidikan IPA (S1),6102491,2,5,171,456,0,0
ADIB RIFQI SETIAWAN,Unknown,6710906,0,20,171,173,0,0
DELLA AYU LESTARI,Sistem Informasi Kelautan (S1),6697506,1,2,131,134,0,0
ASEP SUPRIATNA,Pendidikan Kimia (S1),5978133,2,7,138,377,0,0
RASTO,Manajemen Perkantoran (S2),5993224,2,8,138,227,0,0
HERNAWATI,Biologi (S1),6005188,2,4,146,257,0,0
WASIMUDIN SURYA SAPUTRA,Teknik Elektro (D3),5978996,4,3,171,341,0,0
ELLY MALIHAH,Pariwisata (S2),5978468,2,16,171,649,0,0
DADANG SUDANA,Linguistik (S3),5994886,0,4,131,177,0,0
HENI RUSNAYATI,Pendidikan Fisika (S1),6122990,2,7,131,306,0,0
WASLALUDDIN,Fisika (S1),6099556,3,6,137,346,0,0
EDDY PRASETYO NUGROHO,Ilmu Komputer (S1),5990993,5,7,146,404,0,0
DADANG SUNENDAR,Pendidikan Bahasa Indonesia (S3),5982345,2,7,146,289,0,0
LELI HALIMAH,PGPAUD Kampus Cibiru (S1),5978631,2,9,170,354,0,0
JATMIKA NURHADI,Bahasa dan Sastra Indonesia (S1),5993416,1,4,169,331,0,0
FAHMI CANDRA PERMANA,Pendidikan Multimedia Kampus Cibiru (S1),6068366,2,5,130,204,0,0
ANDOYO SASTROMIHARJO,Pendidikan Bahasa Indonesia (S3),5987306,1,5,130,427,0,0
ISKANDAR MUDA PURWAAMIJAYA,Teknik Sipil (S1),257939,2,4,155,324,0,0
YUSUF HIDAYAT,Pendidikan Olahraga (S2),6136712,2,11,155,358,0,0
SENI APRILIYA,PGSD Kampus Tasikmalaya (S1),5977974,1,7,136,354,0,0
MAMAT SUPRIATNA,Psikologi Pendidikan (S2),6123032,1,11,146,423,0,0
RIZKY RACHMAN JUDHIE P,Ilmu Komputer (S1),5993953,2,4,146,221,0,0
FLORENTINA MARIA TITIN SUPRIYANTI,Unknown,6682493,3,11,130,408,0,0
NUR INDRI RAHAYU,Ilmu Keolahragaan (S1),5994469,1,6,129,348,0,0
BELTASAR TARIGAN,Pendidikan Olahraga (S3),5979103,3,10,155,570,0,0
AGUS SETIABUDI,Kimia (S2),5982867,9,15,154,1.119,0,0
NURLAN KUSMAEDI,Ilmu Keolahragaan (S1),6146204,1,10,153,288,0,0
DINGDING HAERUDIN,Pendidikan Bahasa dan Budaya Sunda (S2),5987647,0,5,153,406,0,0
YENI RACHMAWATI,Pendidikan Guru Pendidikan Anak Usia Dini (S1),5988495,1,9,145,481,0,0
UDIN SYAEFUDIN SAUD,Pendidikan Dasar (S3),6134774,0,15,145,204,0,0
NURTI BUDIYANTI,Unknown,6715332,0,8,129,161,0,0
ANNE HAFINA,Bimbingan Dan Konseling (S2),5994473,2,5,129,179,0,0
WAWAN PURNAMA,Pendidikan Teknik Elektro (S1),6003518,2,4,153,317,0,0
KUSTON SULTONI,Ilmu Keolahragaan (S1),259556,3,6,152,436,0,0
SULASTRI,Pendidikan Bisnis (S1),6067962,2,3,144,303,0,0
AYI SUHERMAN,PGSD Penjas Kampus Sumedang (S1),5993623,2,9,144,345,0,0
RESA PRAMUDITA,Pendidikan Teknik Otomasi Industri dan Robotika (S1),6688224,3,4,129,213,0,0
NOVI SOFIA FITRIASARI,Sistem Informasi Kelautan (S1),5989748,2,4,152,347,0,0
LINA ANISA NASUTION,Keperawatan (D3),6731726,1,4,151,155,0,0
"SUHENDRA, M.ED., PH.D",Pendidikan Matematika (S1),6140435,4,8,127,365,0,0
TATAT HARTATI,Pendidikan Dasar (S2),6038950,1,10,127,369,0,0
DENI KURNIAWAN,Pengembangan Kurikulum (S2),5995718,0,6,127,220,0,0
EPON NINGRUM,Pendidikan Geografi (S3),5990289,4,9,127,492,0,0
DIDI SUKYADI,Pendidikan Bahasa Inggris (S1),5978293,4,12,162,443,0,0
NUGRAHA,Pendidikan Akuntansi (S1),5994754,5,7,126,646,0,0
MAYA SARI,Manajemen (S3),5984857,1,7,162,331,0,0
RUSMAN,Pengembangan Kurikulum (S2),5995802,2,10,161,364,0,0
IRA PURNAMASARI MN,Pendidikan Kepelatihan Olahraga (S1),6009786,3,4,126,242,0,0
HERA NOVIA,Unknown,6126827,2,3,126,139,0,0
DIDIN WAHYUDIN,Pendidikan Teknik Elektro (S1),5979316,3,1,160,506,0,0
ERNA PIANTARI,Pendidikan Ilmu Komputer (S1),6143243,2,2,158,214,0,0
IWA LUKMANA,Linguistik (S3),6681158,2,5,125,223,0,0
MUBIAR AGUSTIN,Pendidikan Dasar (S2),6038188,0,10,158,279,0,0
KAMA ABDUL HAKAM,Pendidikan Umum dan Karakter (S3),5993710,2,9,157,434,0,0
HARSA WARA PRABAWA,Pendidikan Ilmu Komputer (S1),5981240,4,6,125,384,0,0
LISNA ANISA FITRIANA,Keperawatan (D3),5995020,1,4,124,183,0,0
SUCI TUTY PUTRI ,Keperawatan (D3),5975877,1,6,136,257,0,0
JUJU MASUNAH,Pendidikan Seni (S3),258201,1,9,157,510,0,0
ENDANG CAHYA MULYANING A,Pendidikan Matematika (S2),6121877,3,3,156,289,0,0
DEDE TRIE KURNIAWAN,Unknown,6745958,2,6,136,240,0,0
WAWAN HERMAWAN,Pendidikan Agama Islam (S2),5989811,0,4,135,237,0,0
EDI SURYADI,Manajemen Perkantoran (S2),5994793,2,8,155,295,0,0
HASBULLAH,Pendidikan Teknik Otomasi Industri dan Robotika (S1),5993941,2,3,135,367,0,0
MAULANA,PGSD Kampus Sumedang (S1),5993446,2,12,133,477,0,0
ARI ARIFIN DANUWIJAYA,Pendidikan Bahasa Korea (S1),5991917,5,0,119,300,0,0
JAJA KUSTIJA,Pendidikan Teknik Elektro (S1),5993968,2,4,133,279,0,0
NENDEN SRI LENGKANAWATI,Pendidikan Bahasa Inggris (S2),5991826,5,9,133,412,0,0
HERLI SALIM,PGSD Kampus Serang (S1),6003534,1,3,118,217,0,0
EKI NUGRAHA,Pendidikan Ilmu Komputer (S1),6111743,3,4,118,428,0,0
NUNUY NURJANAH,Pendidikan Bahasa dan Budaya Sunda (S2),5983965,2,5,133,224,0,0
ENJANG AHMAD JUANDA,Teknik Elektro (D3),5993925,3,7,118,366,0,0
ASEP MULYADI,Pendidikan Geografi (S1),5994685,2,5,118,233,0,0
